,index,p_saleprice,saleprice,subclass,zoning,lotfrontage,lotarea,street,alley,lotshape,landcontour,utilities,lotconfig,landslope,neighborhood,condition1,condition2,bldgtype,housestyle,overallqual,overallcond,yearbuilt,yearremodel,roofstyle,roofmat,exterior1,exterior2,masvnrtype,masvnrarea,exterqual,extercond,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,totalbsmtsf,heating,heatingqc,centralair,electrical,firstflrsf,secondflrsf,lowqualfinsf,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,totrmsabvgrd,functional,fireplaces,fireplacequ,garagetype,garageyrblt,garagefinish,garagecars,garagearea,garagequal,garagecond,paveddrive,wooddecksf,openporchsf,enclosedporch,threessnporch,screenporch,poolarea,poolqc,fence,miscfeature,miscval,mosold,yrsold,saletype,salecondition,qualityindex,totalsqftcalc,pricesqfoot,Neighborhood_Group,pca1,pca2,pca3,fa1,fa2,fa3
198,775,,,20,RL,75.0,9825,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,609,Unf,0,483,1092,GasA,TA,Y,SBrkr,1092,0,0,1092,0,0,1,0,3,1,TA,6,Typ,0,,Attchd,1966.0,Unf,1.0,264.0,TA,TA,Y,259,0,0,0,161,0,,MnPrv,,0,4,2008,COD,Abnorml,25,1701,,,-1576.6876957606232,-1715.0966325251593,-296.0330127634543,-0.232521199131416,0.438377051510804,-0.3924207750948199
199,780,,,50,RM,90.0,33120,Pave,,IR3,Lvl,AllPub,Inside,Gtl,OldTown,RRAn,Feed,1Fam,1.5Fin,6,5,1962,1962,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1595,1595,GasA,TA,Y,SBrkr,1611,875,0,2486,0,0,2,0,5,1,TA,8,Typ,1,Gd,Detchd,1962.0,Unf,2.0,576.0,TA,TA,Y,0,0,0,0,0,0,,,,0,10,2006,WD,Normal,30,2486,,,21596.576642916312,-4219.685357467464,-310.7072268689832,2.8640042264410215,1.2357545314295606,-0.4068047722611809
200,781,,,50,RL,65.0,7804,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,622,Unf,0,500,1122,GasA,TA,Y,SBrkr,1328,653,0,1981,1,0,2,0,4,1,Gd,7,Min,2,TA,Detchd,1981.0,Unf,2.0,576.0,TA,TA,Y,431,44,0,0,0,0,,MnPrv,,0,12,2009,WD,Normal,12,2603,,,-3554.264785981471,-1503.2379629586499,674.1402712532808,-0.49899578050944593,0.37127988558646446,0.8915533221344977
201,787,,,20,RL,65.0,6500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,6,1976,1976,Hip,CompShg,HdBoard,Plywood,BrkFace,84.0,TA,TA,CBlock,TA,Ex,No,BLQ,1033,Unf,0,94,1127,GasA,TA,Y,SBrkr,1127,0,0,1127,0,1,1,1,3,1,TA,6,Typ,1,Po,Detchd,1991.0,Unf,2.0,480.0,TA,TA,Y,0,0,138,0,0,0,,,,0,5,2008,WD,Normal,36,2160,,,-4865.249872846782,-1363.5255539093635,276.93679889242463,-0.6732962434929259,0.32649845828463336,0.365324049547914
202,792,,,50,RL,78.0,10452,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,6,1941,1985,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,371.0,Gd,Gd,BrkTil,Gd,TA,No,ALQ,426,BLQ,252,850,1528,GasA,Ex,Y,SBrkr,1225,908,0,2133,1,0,1,1,4,1,TA,8,Typ,2,TA,Attchd,1941.0,Unf,1.0,312.0,TA,TA,Y,0,0,86,0,0,0,,,,0,7,2010,WD,Normal,42,2811,,,-914.7333180843848,-1776.321695583637,791.3921377310378,-0.14641258011647604,0.45897195250112616,1.0472754989092308
203,793,,,60,RL,10000.0,13869,Pave,,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,794,GasA,Gd,Y,SBrkr,794,676,0,1470,0,1,2,0,3,1,TA,6,Typ,0,,Attchd,1997.0,Fin,2.0,388.0,TA,TA,Y,0,75,0,0,0,0,,,,0,7,2007,WD,Normal,36,1652,,,3512.223749455124,7713.509108413772,-553.3928437760014,0.5671915558312745,-1.9945133481359867,-0.7309449884982384
204,795,,,80,RL,62.0,7750,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,384,384,GasA,Ex,Y,SBrkr,774,656,0,1430,0,0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,1999.0,RFn,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2009,WD,Normal,35,1430,,,-3649.1008422844457,-1504.261820593342,-495.08978433408413,-0.509149427702984,0.3704093125428671,-0.6564608928594188
205,796,,,60,RL,85.0,16056,Pave,,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,Stone,208.0,Gd,TA,PConc,Ex,TA,Av,GLQ,240,Unf,0,1752,1992,GasA,Ex,Y,SBrkr,1992,876,0,2868,0,0,3,1,4,1,Ex,11,Typ,1,Gd,BuiltIn,2005.0,Fin,3.0,716.0,TA,TA,Y,214,108,0,0,0,0,,,,0,7,2006,New,Partial,45,3108,,,4664.142551047942,-2375.1076320652865,896.7952370774211,0.5988673994768905,0.6498957609211029,1.187899710826049
206,797,,,60,RL,92.0,15922,Pave,,IR1,HLS,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,550.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1390,1390,GasA,Ex,Y,SBrkr,1390,1405,0,2795,0,0,3,1,4,1,Ex,10,Typ,1,Gd,BuiltIn,2005.0,Fin,3.0,660.0,TA,TA,Y,272,102,0,0,0,0,,,,0,1,2006,New,Partial,45,2795,,,4520.855067219783,-2354.6788379604377,588.565240432833,0.580479145532999,0.6435277795349871,0.7798346542962938
207,802,,,20,RL,73.0,8760,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,164.0,Gd,TA,CBlock,TA,TA,No,ALQ,856,Unf,0,313,1169,GasA,TA,Y,SBrkr,1144,0,0,1144,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1956.0,RFn,1.0,286.0,TA,TA,Y,257,0,0,0,0,0,,,,0,6,2009,WD,Normal,35,2000,,,-2624.5927621310057,-1600.7901109744362,39.207732637657706,-0.3732940154128833,0.4022035320228487,0.05114516764190186
208,813,,,20,RL,79.0,9236,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,TA,Gd,GLQ,1200,Unf,0,279,1479,GasA,Ex,Y,SBrkr,1494,0,0,1494,1,0,2,0,3,1,Gd,6,Typ,0,,Attchd,1997.0,RFn,2.0,576.0,TA,TA,Y,168,27,0,0,0,0,,,,0,7,2006,WD,Normal,30,2694,,,-2126.8165557198095,-1644.0559809263602,716.8701095258809,-0.30819094100182376,0.41689976759987396,0.9482755709298848
209,822,,,80,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,SLvl,6,7,1976,1994,Hip,CompShg,Plywood,Plywood,BrkFace,360.0,Gd,Gd,CBlock,TA,TA,No,Unf,0,Unf,0,528,528,GasA,Ex,Y,SBrkr,1094,761,0,1855,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1976.0,RFn,2.0,512.0,TA,TA,Y,113,100,0,0,0,0,,,,0,8,2007,WD,Normal,42,1855,,,-1794.3173833657168,-1685.2568072117747,-134.24798887163556,-0.26189312998678327,0.4293134944302086,-0.17834193249605237
210,829,,,85,RL,60.0,7200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,8,1972,2003,Gable,CompShg,WdShing,HdBoard,None,0.0,TA,Gd,CBlock,Gd,TA,Av,GLQ,660,Unf,0,108,768,GasA,Gd,Y,SBrkr,768,0,0,768,0,1,1,0,2,1,TA,5,Typ,0,,Detchd,1974.0,Fin,1.0,396.0,TA,TA,Y,192,0,0,0,0,0,,MnPrv,,0,4,2009,WD,Normal,40,1428,,,-4195.837734639001,-1446.7119394457388,-478.54886414247625,-0.58226238005754,0.35200688715983885,-0.6346413562869112
211,839,,,60,RL,80.0,10400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosA,Norm,1Fam,2Story,6,7,1967,1997,Gable,CompShg,MetalSd,MetalSd,BrkFace,256.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,932,932,GasA,Gd,Y,SBrkr,1271,1369,0,2640,0,0,2,1,5,1,Gd,8,Typ,1,TA,Attchd,1967.0,RFn,2.0,515.0,TA,TA,Y,0,120,0,0,168,0,,,,0,5,2009,WD,Normal,42,2640,,,-972.1319582573,-1769.2687210519728,622.6321798571715,-0.15368921435118918,0.4566951423840889,0.8238110127791013
212,840,,,60,FV,102.0,11143,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1580,1580,GasA,Ex,Y,SBrkr,1580,886,0,2466,0,0,3,0,4,1,Gd,8,Typ,1,Gd,Attchd,2004.0,RFn,2.0,610.0,TA,TA,Y,159,214,0,0,0,0,,,,0,12,2007,WD,Normal,40,2466,,,-237.61325332334118,-1828.415342766683,423.60404259939025,-0.054846865646723315,0.4765857848827251,0.5604349722014068
213,843,,,60,RL,149.0,12589,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,742,742,GasA,Ex,Y,SBrkr,742,742,0,1484,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2005.0,Fin,2.0,390.0,TA,TA,Y,36,24,0,0,0,0,,,,0,6,2009,WD,Normal,30,1484,,,1169.8780954339359,-1941.5022500487084,-607.6553334767268,0.13603274962764322,0.5143272556122913,-0.8044200835040834
214,844,,,20,RL,87.0,10000,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1962,1962,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,261.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1116,1116,GasA,TA,Y,SBrkr,1116,0,0,1116,0,0,1,1,3,1,TA,5,Typ,0,,Attchd,1962.0,Unf,2.0,440.0,TA,TA,Y,0,0,0,0,385,0,,,,0,2,2010,WD,Normal,36,1116,,,-1421.9160796690528,-1724.0558959094371,-886.7046504449543,-0.21040718264788194,0.4413925662790897,-1.1743265388736968
215,845,,,20,RL,88.0,14175,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,PosA,Norm,1Fam,1Story,6,8,1956,1956,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,Gd,Gd,GLQ,776,Unf,0,212,988,GasA,TA,Y,FuseA,1188,0,0,1188,1,0,1,0,1,1,TA,4,Typ,1,TA,Attchd,1956.0,Unf,2.0,621.0,TA,TA,Y,102,89,231,0,0,0,,,,0,6,2008,WD,Normal,48,1964,,,2755.739519426702,-2172.2707186682283,-182.53695244089712,0.3462675964586962,0.5846122574026168,-0.24124885922969633
216,852,,,20,RL,10000.0,9928,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1Story,7,5,1991,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,1239,Unf,0,215,1454,GasA,TA,Y,SBrkr,1478,0,0,1478,1,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1991.0,Unf,2.0,506.0,TA,TA,Y,114,22,0,0,0,0,,,,0,5,2007,WD,Normal,35,2717,,,-366.1543597055641,8143.724540042447,645.9308328860893,0.04635987557857323,-2.130283787484599,0.8558880260635479
217,854,,,20,RL,122.0,11923,Pave,,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,9,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1800,1800,GasA,Ex,Y,SBrkr,1800,0,0,1800,0,0,2,0,2,1,Ex,7,Typ,0,,Attchd,2007.0,Fin,2.0,702.0,TA,TA,Y,288,136,0,0,0,0,,,,0,5,2009,WD,Normal,45,1800,,,516.2869545008264,-1895.1910454360934,-268.75083623710907,0.04763833802321373,0.4983559352554996,-0.35595117565116285
218,855,,,20,FV,72.0,8640,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,24,Unf,0,1254,1278,GasA,Ex,Y,SBrkr,1278,0,0,1278,0,0,2,0,2,1,Gd,5,Typ,0,,Attchd,2006.0,RFn,2.0,584.0,TA,TA,Y,0,60,0,0,0,0,,,,0,10,2006,New,Partial,40,1302,,,-2768.237195053523,-1591.1038344173792,-653.4773579839116,-0.3909861140197298,0.39845896559459504,-0.8659623289132694
219,856,,,20,RL,70.0,9800,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,894,Unf,0,0,894,GasA,TA,Y,SBrkr,894,0,0,894,1,0,1,0,3,1,TA,5,Typ,0,,Attchd,1975.0,Unf,2.0,552.0,TA,TA,Y,256,0,0,0,0,0,,GdWo,,0,7,2006,WD,Abnorml,35,1788,,,-1599.030187245714,-1717.0730227383567,-208.07532708276025,-0.23575858507138311,0.43879731463983546,-0.2760147453040659
220,858,,,60,RL,74.0,13830,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,791,Unf,0,137,928,GasA,Gd,Y,SBrkr,928,701,0,1629,0,0,2,1,3,1,TA,6,Typ,1,TA,Attchd,1997.0,Fin,2.0,482.0,TA,TA,Y,212,34,0,0,0,0,,MnPrv,,0,3,2010,WD,Normal,25,2420,,,2427.3672374581156,-2147.3175434856194,285.51177210969206,0.30120176209774563,0.5762892189347135,0.37824159630386384
221,860,,,60,RL,71.0,12209,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,2Story,6,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,No,ALQ,690,Unf,0,114,804,GasA,Ex,Y,SBrkr,804,1157,0,1961,1,0,2,1,3,1,Gd,7,Typ,1,TA,BuiltIn,2001.0,Fin,2.0,560.0,TA,TA,Y,125,192,0,0,0,0,,,,0,6,2009,WD,Normal,30,2651,,,824.5856725841031,-1974.0319184223736,572.0423573522946,0.08638314172861845,0.5212590607291959,0.7571863678079694
222,865,,,75,RL,10000.0,11888,Pave,Pa,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,PosN,Norm,1Fam,2.5Unf,6,6,1916,1994,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,844,844,GasA,Gd,N,FuseA,1445,689,0,2134,0,0,2,0,5,1,Gd,10,Typ,0,,Detchd,1930.0,Unf,2.0,441.0,TA,TA,Y,0,60,268,0,0,0,,,,0,7,2009,WD,Normal,36,2134,,,1560.8130199826007,7929.580541715372,-4.8781479070246885,0.3052539496739761,-2.0627502514107303,-0.005096800852457272
223,868,,,50,RL,60.0,10134,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,735,735,GasA,Gd,Y,FuseA,735,299,0,1034,0,0,1,0,2,1,TA,5,Typ,0,,Detchd,1940.0,Unf,1.0,240.0,TA,TA,Y,0,39,0,0,0,0,,,,0,7,2007,WD,Normal,30,1034,,,-1294.5688816933496,-1765.6775684833783,-973.3740706937666,-0.1935267067117029,0.45301412197907553,-1.288984839768939
224,884,,,20,RL,10000.0,12285,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,6,1960,1960,Gable,CompShg,Plywood,Plywood,BrkFace,128.0,TA,TA,CBlock,TA,TA,No,BLQ,544,Unf,0,785,1329,GasA,Gd,Y,SBrkr,1329,0,0,1329,0,0,1,1,3,1,TA,5,Typ,2,Gd,Attchd,1960.0,Unf,2.0,441.0,TA,TA,Y,0,0,203,0,0,0,,,,0,8,2009,WD,Normal,42,1873,,,1946.16319585066,7885.734938479349,-278.69034596457317,0.3573410612687405,-2.0490459821914104,-0.3675759554135804
225,892,,,60,RL,10000.0,9303,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,6,5,1996,1997,Hip,CompShg,VinylSd,VinylSd,BrkFace,42.0,Gd,TA,PConc,Ex,TA,No,ALQ,742,Unf,0,130,872,GasA,Ex,Y,SBrkr,888,868,0,1756,1,0,2,1,3,1,TA,7,Typ,0,,Attchd,1996.0,Fin,2.0,422.0,TA,TA,Y,144,122,0,0,0,0,,,,0,7,2007,WD,Normal,30,2498,,,-994.7435263667392,8210.66688250682,448.56736175330974,-0.03719850062725246,-2.151746282571525,0.5944803481846715
226,896,,,20,RL,10000.0,20355,Pave,,Reg,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,6,1967,1967,Gable,Tar&Grv,Plywood,Plywood,BrkFace,123.0,TA,TA,CBlock,Gd,TA,Av,Rec,810,ALQ,826,229,1865,GasA,TA,Y,SBrkr,1830,0,0,1830,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1967.0,Unf,2.0,521.0,TA,TA,Y,0,115,168,0,0,0,,,,0,6,2006,WD,Normal,42,3466,,,10019.483661546345,7017.295337556712,1036.479172588739,1.433191712471261,-1.7717031532697354,1.3751878664775263
227,899,,,60,RL,63.0,9729,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,698,698,GasA,Ex,Y,SBrkr,698,1048,0,1746,1,0,2,1,3,1,Gd,6,Typ,1,Gd,BuiltIn,2007.0,Unf,3.0,350.0,TA,TA,Y,0,34,0,0,0,0,,,,0,6,2007,New,Partial,30,1746,,,-1671.7793569253754,-1716.4809421968018,-247.1281624001975,-0.24547760958285314,0.438175958047742,-0.327784215110209
228,900,,,20,RL,10000.0,11382,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,Wd Sdng,Plywood,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,ALQ,54,Rec,543,533,1130,GasA,TA,Y,SBrkr,1374,0,0,1374,0,1,1,0,3,1,TA,7,Typ,1,TA,Attchd,1964.0,RFn,1.0,286.0,TA,TA,Y,0,28,84,0,0,0,,MnPrv,,0,8,2007,WD,Normal,30,1971,,,1052.4220673763314,7983.8279046823745,-149.79130044309565,0.2376416528733456,-2.08012916517662,-0.19712226278508674
229,902,,,20,RL,85.0,10628,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1970,1970,Flat,Tar&Grv,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,Gd,Gd,GLQ,778,Unf,0,499,1277,GasA,TA,Y,SBrkr,1277,0,0,1277,1,0,1,0,2,1,TA,5,Typ,1,Po,Attchd,1970.0,Unf,2.0,526.0,TA,TA,Y,0,0,0,0,176,0,,GdWo,,0,4,2007,WD,Normal,35,2055,,,-765.459316157088,-1790.9219196785675,30.202219067940128,-0.12472063247929299,0.4633476207003014,0.03960364790759255
230,904,,,20,RL,85.0,10200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,180.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1478,Unf,0,100,1578,GasA,Ex,Y,SBrkr,1602,0,0,1602,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3.0,810.0,TA,TA,Y,0,48,0,0,195,0,,,,0,1,2009,WD,Normal,40,3080,,,-1154.944452042952,-1741.182335506411,1069.6691860004378,-0.1790318562756787,0.448439953023501,1.4154886277744225
231,909,,,20,RL,98.0,11428,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,248.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1626,1626,GasA,Ex,Y,SBrkr,1634,0,0,1634,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3.0,866.0,TA,TA,Y,0,44,0,0,0,0,,,,0,5,2007,WD,Normal,40,1634,,,16.107881938622704,-1866.0070055871608,-417.52170661173346,-0.01915680541824591,0.48757582021612317,-0.5529957602362674
232,911,,,20,RL,85.0,11058,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,212.0,Gd,TA,PConc,Gd,TA,No,GLQ,56,Unf,0,1508,1564,GasA,Ex,Y,SBrkr,1564,0,0,1564,0,0,2,0,3,1,Gd,6,Typ,0,,Attchd,2007.0,RFn,3.0,814.0,TA,TA,Y,0,24,0,0,0,0,,,,0,2,2008,WD,Normal,42,1620,,,-353.3907547703126,-1838.9180043439221,-418.70674549156877,-0.06868116650343713,0.4782183472944671,-0.5546513796730203
233,912,,,20,RL,61.0,7328,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2008,2009,Gable,CompShg,VinylSd,VinylSd,BrkFace,140.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1450,1450,GasA,Ex,Y,SBrkr,1450,0,0,1450,0,0,2,0,2,1,Gd,6,Typ,0,,Attchd,2008.0,RFn,3.0,788.0,TA,TA,Y,0,93,0,0,0,0,,,,0,2,2009,New,Partial,35,1450,,,-4067.777979107043,-1459.4998863179537,-460.5024914281821,-0.5651787819317639,0.3561469932471002,-0.6107820170909032
234,916,,,60,RL,70.0,11184,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,5,1978,1978,Hip,CompShg,HdBoard,HdBoard,BrkFace,92.0,TA,TA,CBlock,TA,TA,No,LwQ,226,Rec,500,192,918,GasA,Gd,Y,SBrkr,918,765,0,1683,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1978.0,RFn,2.0,440.0,TA,TA,Y,243,0,0,0,0,0,,,,0,7,2009,WD,Normal,30,2409,,,-202.3352424090321,-1864.8554841997316,365.06959384492023,-0.05038980812040913,0.48629912228229827,0.4830148273143787
235,919,,,20,RL,85.0,11050,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,1975,1975,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,636,Unf,0,540,1176,GasA,Fa,Y,SBrkr,1193,0,0,1193,0,0,2,0,3,1,TA,5,Typ,1,TA,Attchd,1975.0,Unf,2.0,506.0,TA,TA,Y,40,0,0,0,0,0,,,,0,8,2009,WD,Normal,35,1829,,,-354.0661186469919,-1837.3600811322583,-210.04320983047333,-0.06922731492909663,0.4779058301310263,-0.2783528377499496
236,923,,,80,RL,10000.0,7750,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,250,Unf,0,134,384,GasA,Ex,Y,SBrkr,774,656,0,1430,0,0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,2000.0,Fin,2.0,400.0,TA,TA,Y,180,0,0,0,0,0,,,,0,4,2010,WD,Normal,35,1680,,,-2566.2086387950926,8376.094080782219,-315.50641451388617,-0.2455022951664962,-2.20502694231215,-0.417357168933832
237,927,,,20,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2000,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,108.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1349,1349,GasA,Ex,Y,SBrkr,1349,0,0,1349,0,0,2,0,3,1,TA,6,Typ,0,,Attchd,2000.0,Unf,2.0,539.0,TA,TA,Y,120,55,0,0,0,0,,GdPrv,,0,12,2007,WD,Normal,35,1349,,,-2956.1289095026377,-1577.3355874626736,-600.048501041807,-0.416292204372237,0.39372806215056344,-0.7952559477378544
238,928,,,20,RL,50.0,35133,Grvl,,Reg,Lvl,AllPub,Inside,Mod,Timber,Norm,Norm,1Fam,1Story,5,4,1963,1963,Hip,CompShg,MetalSd,MetalSd,BrkFace,226.0,TA,TA,CBlock,TA,TA,Gd,Rec,1159,Unf,0,413,1572,GasA,Gd,Y,SBrkr,1572,0,0,1572,1,0,1,1,3,1,TA,5,Typ,2,TA,2Types,1963.0,RFn,3.0,995.0,TA,TA,Y,0,263,0,0,263,0,,,,0,5,2007,WD,Normal,20,2731,,,23600.768678760607,-4476.57950607304,-134.67493846106504,3.130931033637455,1.315328479325329,-0.17332799117312359
